"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X278","Región Metropolitana, Conchalí","Accesorios y piezas para vehículos",70000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/inyectores_sm3_73768666.htm?ca=15_s&oa=73768666&xsp=35"
"X279","Región Metropolitana, La Reina","Bolsos, bisutería y accesorios",2e+05,"Vendo","2016","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/antiguo_reloj_delbana_automatico_de_hombre_73768665.htm?ca=15_s&oa=73768665&xsp=36"
"X280","Región Metropolitana, Vitacura","Computadores y accesorios",4e+05,"Vendo","2014","https://www.yapo.cl/region_metropolitana/computadores/macbook_pro_mid_2012_73768664.htm?ca=15_s&oa=73768664&xsp=37"
"X281","Región Metropolitana, Las Condes","Calzado",10000,"Vendo","2019","https://www.yapo.cl/region_metropolitana/calzado/botin_cafe_oscuro_talla_38_73768663.htm?ca=15_s&oa=73768663&xsp=38"
"17","Región Metropolitana, Las Condes","Vendo - Casa",NA,NA,"2014","https://www.yapo.cl/region_metropolitana/comprar/casa_habitacional_o_comercial_las_condes_73768660.htm?ca=15_s&oa=73768660&xsp=39"
"X282","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",10000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/flash_intermitente_chevrolet_dmax_2012_73768659.htm?ca=15_s&oa=73768659&xsp=40"
"X283","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",35000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/motor_limpiaparabrisas__01__chevrolet_dmax_2008_73768656.htm?ca=15_s&oa=73768656&xsp=41"
"X284","Región Metropolitana, Quinta Normal","Consolas, videojuegos y accesorios",17000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/juego_pokemon_73768655.htm?ca=15_s&oa=73768655&xsp=42"
"X285","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",30000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/farol_trasero_rh_chv_dmax_2012_73768652.htm?ca=15_s&oa=73768652&xsp=43"
"X286","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",35000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/motor_limpiaparabrisas_chevrolet_dmax_2012_73768649.htm?ca=15_s&oa=73768649&xsp=44"
"X287","Región Metropolitana, Las Condes","Autos, camionetas y 4x4",15470000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/autos/jeep_cherokee_longitude_2_4_at_garantia_fabrica_2_73768647.htm?ca=15_s&oa=73768647&xsp=45"
"X288","Región Metropolitana, Renca","Electrodomésticos",90000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavadora_12k_73768646.htm?ca=15_s&oa=73768646&xsp=46"
"X289","Región Metropolitana, La Cisterna","Accesorios y piezas para vehículos",80000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/motor_de_partida_chevrolet_dmax_2012_2_5_73768644.htm?ca=15_s&oa=73768644&xsp=47"
"X290","Región Metropolitana, Providencia","Libros y revistas",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/libros_revistas/comics_73768643.htm?ca=15_s&oa=73768643&xsp=48"
"X291","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/pantalon_zara_73768642.htm?ca=15_s&oa=73768642&xsp=49"
"X292","Región Metropolitana, Providencia","Libros y revistas",5000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/libros_revistas/miley_cyrus__tu___yo__libro__73768640.htm?ca=15_s&oa=73768640&xsp=0"
"X293","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",NA,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_trasera_derecha_chevrolet_dmax_73768639.htm?ca=15_s&oa=73768639&xsp=1"
"X294","Región Metropolitana, Renca","Electrodomésticos",90000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavadora_73768638.htm?ca=15_s&oa=73768638&xsp=2"
"X295","Región Metropolitana, Maipú","Accesorios y piezas para vehículos",130000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/cremallera_de_direccion_electrica_hyundai_i10_73768635.htm?ca=15_s&oa=73768635&xsp=3"
"X296","Región Metropolitana, La Florida","Moda y vestuario",27000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/cardigans_lana_moahir_73768634.htm?ca=15_s&oa=73768634&xsp=4"
"18","Región Metropolitana, La Reina","Ofertas de empleo",4e+05,NA,"2019","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/operario_bodega_experiencia_en_logistica_la_reina_73768632.htm?ca=15_s&oa=73768632&xsp=5"
"19","Región Metropolitana, La Granja","Arriendo - Casa",NA,NA,"2017","https://www.yapo.cl/region_metropolitana/arrendar/casa_3_dormitorios_la_granja_73768631.htm?ca=15_s&oa=73768631&xsp=6"
"110","Región Metropolitana, Quilicura","Ofertas de empleo",6000,NA,"2017","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/entregar_volantes_en_la_comuna_de_quilicura_73768626.htm?ca=15_s&oa=73768626&xsp=7"
"X297","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_delantera_derecha_chevrolet_dmax_2012_73768625.htm?ca=15_s&oa=73768625&xsp=8"
"111","Región Metropolitana, La Pintana","Vendo - Casa",NA,NA,"2019","https://www.yapo.cl/region_metropolitana/comprar/casa_santo_tomas_73768619.htm?ca=15_s&oa=73768619&xsp=9"
"X298","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/buzo_nike_73768617.htm?ca=15_s&oa=73768617&xsp=10"
"X299","Región Metropolitana, Puente Alto","Calzado",40000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/calzado/adidas_originals_nmd_r2_73768616.htm?ca=15_s&oa=73768616&xsp=11"
"X2100","Región Metropolitana, Ñuñoa","Deportes, gimnasia y accesorios",80000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/deportes_gimnasia/skis_salomon_151_cm___botas_42___palos_73675404.htm?ca=15_s&oa=73675404&xsp=12"
"X2101","Región Metropolitana, Puente Alto","Consolas, videojuegos y accesorios",180000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/new_nintendo_3ds_xl_edicion_ness_73768614.htm?ca=15_s&oa=73768614&xsp=13"
"X2102","Región Metropolitana, Las Condes","Calzado",13000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/calzado/zapatillas_sybilla_mujer_talla_39__73768611.htm?ca=15_s&oa=73768611&xsp=14"
"112","Región Metropolitana, Recoleta","Ofertas de empleo",NA,NA,"2019","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/desabollador_con_experiencia_y_herramientas_73768606.htm?ca=15_s&oa=73768606&xsp=15"
"X2103","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_trasera_izquierda_chevrolet_dmax_2007_73768604.htm?ca=15_s&oa=73768604&xsp=16"
"X2104","Región Metropolitana, Vitacura","Muebles",555000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/muebles/sofa_cuero_rosen_73768603.htm?ca=15_s&oa=73768603&xsp=17"
"X2105","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_delantera_derecha_chevrolet_dmax_73768600.htm?ca=15_s&oa=73768600&xsp=18"
"X2106","Región Metropolitana, Las Condes","Celulares, teléfonos y accesorios",110000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/celulares/iphone_6s_32g_73768599.htm?ca=15_s&oa=73768599&xsp=19"
"X2107","Región Metropolitana, Macul","Muebles",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/muebles/comedor_moderno_73768593.htm?ca=15_s&oa=73768593&xsp=20"
"X2108","Región Metropolitana, Santiago","Accesorios y piezas para vehículos",9e+05,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/caja_de_cambio_jeep_wrangler_2_8_ao_2018_73768591.htm?ca=15_s&oa=73768591&xsp=21"
"X2109","Región Metropolitana, Maipú","Accesorios y piezas para vehículos",8990,"Vendo","2017","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/compresor_de_aire_portatil___air_dragon_73768590.htm?ca=15_s&oa=73768590&xsp=22"
"X2110","Región Metropolitana, Macul","Vestuario futura mamá y niños",2500,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/vestido_18_meses_73768586.htm?ca=15_s&oa=73768586&xsp=23"
"X2111","Región Metropolitana, Paine","Negocios, maquinaria y construcción",1e+05,"Vendo","2013","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/cilindro_oxigeno_73768584.htm?ca=15_s&oa=73768584&xsp=24"
"X2112","Región Metropolitana, Puente Alto","Muebles",85000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/muebles/futon___sofa_cama_73768583.htm?ca=15_s&oa=73768583&xsp=25"
"X2113","Región Metropolitana, San Ramón","Juguetes",7000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/juguetes/peluche_del_perro_chocolo_73768582.htm?ca=15_s&oa=73768582&xsp=26"
"X2114","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/pantalon_zara_73768581.htm?ca=15_s&oa=73768581&xsp=27"
